ThirdEyeChic Optometry; Optometrists; 3.5 star rating; 8 reviews; Battery Park; 220 Murray St, New York, NY 10282; (212) 227-0360
Evelyn Tolston, MD; Allergists; 4.5 star rating; 6 reviews; Midtown East, Murray Hill; 161 Madison Ave, New York, NY 10016; (646) 424-0400
NYC Acupuncture Center; Massage Therapy, Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 3 reviews; Midtown East; 141 E 55th St, New York, NY 10022; (212) 980-2844
Midtown Integrative Health and Wellness; Chiropractors; 5.0 star rating; 9 reviews; Midtown East; 515 Madison Ave, New York, NY 10022; (212) 752-6770
York Kids Dental; Pediatric Dentists; 5.0 star rating; 5 reviews; Midtown East; 133 E 58th St, New York, NY 10022; (646) 762-0256
Karen Altszuler, DDS; General Dentistry; 5.0 star rating; 6 reviews; Midtown East; 501 Madison Ave, Manhattan, NY 10022; (212) 688-2820
Aviram D. Shmuely, DDS; General Dentistry, Cosmetic Dentists; 4.5 star rating; 10 reviews; Midtown East; 286 Madison Ave, New York, NY 10017; (212) 682-2060
Maxwell Medical; Physical Therapy, Chiropractors, Acupuncture; 4.0 star rating; 20 reviews; Midtown East; 16 E 52nd St, New York, NY 10022; (212) 371-9355
Heidi Kling, PhD; Counseling & Mental Health; 0; 0; Union Square, Greenwich Village; 80 5th Ave, New York, NY 10011; (212) 673-3868
Mpower Bodywork; Massage Therapy; 4.0 star rating; 160 reviews; Union Square, Gramercy, Flatiron; 32 Union Sq E, New York, NY 10003; (212) 539-1690
Manhattan Lasik Center; Optometrists, Laser Eye Surgery/Lasik, Ophthalmologists; 4.0 star rating; 65 reviews; Midtown East; 110 E 55th St, New York, NY 10022; (212) 759-9617
Kiwi Physical Therapy; Physical Therapy, Trainers; 4.5 star rating; 7 reviews; Midtown East; 22 E 41st St, New York, NY 10017; (212) 686-1112
Nicole Egenberger, ND; Naturopathic/Holistic; 0; 0; Greenwich Village; 214 Sullivan St, New York, NY 10012; (646) 485-5229
Sirota Rochelle Cd Cn Nutritionist; Nutritionists; 0; 0; Greenwich Village; 80 E 11th St, New York, NY 10003; (212) 598-9447
Iris L Johnson, LCSW; Counseling & Mental Health; 0; 0; Union Square, Greenwich Village; 853 Broadway, Manhattan, NY 10003; (718) 541-1266
Joyce Norris, DC; Chiropractors, Nutritionists; 0; 0; Greenwich Village; 80 East 11 St, New York, NY 10003; (347) 989-4720
Peltz Ivy, DDS; General Dentistry; 5.0 star rating; 1 review; Greenwich Village; 11 5th Ave, New York, NY 10003; (212) 254-7154
Valerie Zika Counseling Services; Counseling & Mental Health; 0; 0; Union Square, Greenwich Village; 80 5th Ave, Manhattan, NY 10011; (347) 853-0903
Beth Israel Orthopedic Associates; Hospitals; 3.5 star rating; 4 reviews; Union Square, Gramercy, Flatiron; 10 Union Sq E, New York, NY 10003; (212) 844-8550
Karen Carlson, L.Ac.; Acupuncture; 5.0 star rating; 2 reviews; Union Square, Gramercy, Flatiron; 32 Union Sq E, Manhattan, NY 10003; (347) 766-3075
OHMSutra; Massage, Massage Therapy; 5.0 star rating; 2 reviews; Union Square, Gramercy, Flatiron; 32 Union Sq E, Manhattan, NY 10003; (347) 731-7755
Weymouth Sheilagh, DC; Chiropractors, Acupuncture; 0; 0; Union Square, Gramercy, Flatiron; 215 Park Ave S, New York, NY 10003; (212) 533-3070
Meredith Naidorf, MD; Counseling & Mental Health, Psychiatrists; 0; 0; Union Square, Flatiron; 96 Fifth Ave, New York, NY 10011; (917) 880-7585
Union Square Practice; Psychiatrists, Psychologists; 0; 0; Union Square, Greenwich Village; 817 Broadway, New York, NY 10003; (212) 335-2100
Carlo A Borea; Sex Therapists; 0; 0; Union Square, Flatiron; 41 Union Square W, Manhattan, NY 10003; (917) 756-4209
WholeLife HealthCare; Chiropractors; 0; 0; Union Square, Gramercy, Flatiron; 215 Park Ave S, New York, NY 10003; (212) 533-3070
Miles Neale, PhD,PsyD; Psychologists; 0; 0; Union Square, Flatiron; 41 Union Sq W, Manhattan, NY 10003; (917) 750-3594
Manhattan Avenue Hearing Aids; Hearing Aid Providers; 0; 0; Greenwich Village; 2 Fifth Ave, New York, NY 10011; (917) 856-2703
Southern Manhattan Dialysis Center; Dialysis Clinics; 0; 0; Greenwich Village; 65 W 13th St, New York, NY 10011; (212) 206-6989
South Manhattan Dialysis Center; Dialysis Clinics; 0; 0; Greenwich Village; 510-526 Avenue of the Americas, New York, NY 10011; (212) 675-6880
Dyckman Medical Care; Medical Centers; 1.5 star rating; 2 reviews; Washington Heights, Inwood; 177 Dyckman St, New York, NY 10040; (212) 567-7323
Doctor’s Medical Group; Doctors; 1.0 star rating; 4 reviews; Washington Heights; 354 Fort Washington Avenue, New York, NY 10033; (212) 781-0100
Community League Health Clinic Cfpc; null; 0; 0; Washington Heights; 1996 Amsterdam Ave, New York, NY 10032; (212) 781-7979
Psychoanalytic Clinic Columbia Univ; null; 0; 0; Washington Heights; 1051 Riverside Drive, New York, NY 10032; (212) 927-5000
Muruga Raj, MD; Obstetricians & Gynecologists; 1.0 star rating; 4 reviews; Washington Heights, Inwood; 4915 Broadway, New York, NY 10034; (212) 543-2500
Pignanelli Eduardo L Dr; Doctors; 2.5 star rating; 3 reviews; Washington Heights; 601 W 177th St, New York, NY 10033; (212) 923-2310
Miller Martin A DDS; General Dentistry; 1.0 star rating; 1 review; Washington Heights; 153 Dyckman St, New York, NY 10040; (212) 569-5300
Centro Medico Dominicano; Doctors; 1.0 star rating; 1 review; Washington Heights; 629 W 185th St, New York, NY 10033; (212) 928-3900
Pediatric Associates of NYC PC; Doctors; 3.5 star rating; 13 reviews; Midtown East, Murray Hill, Kips Bay; 317 E 34th St, New York, NY 10016; (212) 725-6300
Cityscape OBGYN, PLLC; Obstetricians & Gynecologists; 2.0 star rating; 66 reviews; Midtown East, Murray Hill; 38 E 32nd St, New York, NY 10016; (212) 683-3595
Silver Acupuncture & Chinese Herbs; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 25 reviews; Midtown East, Murray Hill; 350 Lexington Ave, New York, NY 10016; (914) 388-1964
Adam Resnikoff, DPM; Podiatrists; 2.5 star rating; 4 reviews; Midtown East, Murray Hill, Kips Bay; 481 3rd Ave, New York, NY 10016; (212) 679-3338
Shawn Salehezadeh, DDS; General Dentistry, Cosmetic Dentists; 5.0 star rating; 22 reviews; Midtown East, Murray Hill; 265 Madison Ave, New York, NY 10016; (212) 768-7422
Expert Dental; General Dentistry, Oral Surgeons, Cosmetic Dentists; 3.5 star rating; 69 reviews; Midtown East, Murray Hill; 110 E 40th St, New York, NY 10016; (212) 682-2965
PHlex Health and Wellness Studio; Physical Therapy, Acupuncture, Nutritionists; 4.0 star rating; 1 review; Midtown East, Murray Hill; 370 Lexington Ave, New York, NY 10017; (646) 885-6605
Bruce Chung, MD; Family Practice; 4.0 star rating; 18 reviews; Midtown East, Murray Hill, Kips Bay; 160 E 32nd St, New York, NY 10016; (212) 545-1888
Gemvie Medispa; Day Spas, Medical Spas, Hair Removal; 3.5 star rating; 57 reviews; Midtown East, Murray Hill; 24 E 36th St, New York, NY 10016; (212) 447-8494
Enzo Clinic Labs; Medical Centers; 2.5 star rating; 9 reviews; Midtown East, Murray Hill, Kips Bay; 251 East 33rd Street, New York, NY 10016; (212) 213-4822
Union Square Spinal Care; Chiropractors; 5.0 star rating; 20 reviews; Flatiron; 873 Broadway, New York, NY 10003; (212) 254-4586
Body Align Physical Therapy; Physical Therapy; 5.0 star rating; 13 reviews; Union Square, Gramercy, Flatiron; 32 Union Square E, New York, NY 10003; (646) 328-2525
Postgraduate Center For Mental Health; Counseling & Mental Health; 1.0 star rating; 3 reviews; Flatiron; 71 W 23rd St, New York, NY 10010; (212) 576-4100
Kips Bay Gynecology; Obstetricians & Gynecologists; 1.5 star rating; 67 reviews; Midtown East, Flatiron; 419 Park Ave S, New York, NY 10016; (212) 545-5400
Erin Oglesby CranioSacral Therapy and Yoga; Yoga, Massage Therapy; 5.0 star rating; 10 reviews; Flatiron; 37 W 20th St, New York, NY 10011; (347) 450-3681
Gotham Wellness; Acupuncture; 5.0 star rating; 6 reviews; Flatiron; 15 W 26th St, Ste 10R, New York, NY 10010; (917) 288-0246
Astor Medical Group; Doctors, Medical Centers; 4.0 star rating; 32 reviews; Gramercy, Flatiron; 67 Irving Pl, New York, NY 10003; (212) 253-2968
Brandon Cooper - Cooper Chiropractic and Wellness Center; Chiropractors; 5.0 star rating; 6 reviews; Flatiron; 245 5th Ave, New York, NY 10016; (646) 935-2802
Mpower Bodywork; Massage Therapy; 4.0 star rating; 160 reviews; Union Square, Gramercy, Flatiron; 32 Union Sq E, New York, NY 10003; (212) 539-1690
Beth Israel Orthopedic Associates; Hospitals; 3.5 star rating; 4 reviews; Union Square, Gramercy, Flatiron; 10 Union Sq E, New York, NY 10003; (212) 844-8550
Daniel J Gattegno, DMD; General Dentistry, Oral Surgeons, Cosmetic Dentists; 3.5 star rating; 22 reviews; Upper West Side; 173 W 81 St, New York, NY 10024; (212) 724-2195
Joint Effort Physical Therapy; Physical Therapy; 5.0 star rating; 1 review; Upper West Side; 211 W 71st St, New York, NY 10023; (212) 721-6200
Weller Chana Dr; General Dentistry; 2.5 star rating; 11 reviews; Upper West Side; 41 W 72nd St Apt 1D, New York, NY 10023; (212) 721-8373
Dr. Lawrence Limb, DMD - Bway Smiles; Pediatric Dentists, General Dentistry, Orthodontists; 3.5 star rating; 3 reviews; Upper West Side; 1995 Broadway Suite 205, New York, NY 10023; (212) 877-5577
Barry Hendrickson’s Bitz-N-Pieces; Hair Extensions, Wigs, Medical Spas; 2.5 star rating; 8 reviews; Upper West Side; 1841 Broadway, New York, NY 10023; (212) 397-0711
Dmitry Choklin Physical Therapy and Sports Training; Physical Therapy; 5.0 star rating; 9 reviews; Upper West Side; 110 W End Ave, Manhattan, NY 10023; (917) 328-8098
Sachs Center; Counseling & Mental Health, Physical Therapy, Psychiatrists; 5.0 star rating; 3 reviews; Upper West Side; 235 West 76th Street, Suite 1B, New York City, NY 10023; (646) 807-8900
Mount Sinai Urgent Care Upper West Side; Urgent Care; 3.0 star rating; 2 reviews; Upper West Side; 638 Columbus Ave, New York, NY 10024; (212) 828-3250
Dr. Eric Linden, DMD, MSD; Periodontists; 3.0 star rating; 2 reviews; Upper West Side; 170 West End Ave, Ste 1L, Manhattan, NY 10023; (212) 595-5559
East Coast Dental Group; Dentists; 5.0 star rating; 4 reviews; Upper West Side; 608A W End Ave, New York, NY 10024; (212) 799-1199
Quality First Urgent Care; Urgent Care; 4.5 star rating; 11 reviews; Bensonhurst, Borough Park; 6010 Bay Parkway, Brooklyn, NY 11204; (718) 475-1700
Eye D Vision Optical; Optometrists, Eyewear & Opticians; 5.0 star rating; 46 reviews; Bath Beach, Bensonhurst; 2057 86th St, Brooklyn, NY 11214; (718) 355-9656
David Li Acupuncture; Acupuncture; 5.0 star rating; 2 reviews; Bensonhurst; 7104 18th Ave, Brooklyn, NY 11204; (718) 234-1368
Jing Xin Yuan; Traditional Chinese Medicine, Buddhist Temples, Yoga; 5.0 star rating; 1 review; Bensonhurst; 6627 Bay Pkwy, Brooklyn, NY 11204; (718) 837-3742
Backman Boris DDS; General Dentistry; 5.0 star rating; 1 review; Gravesend, Bensonhurst; 100 Avenue P, Brooklyn, NY 11204; (718) 232-6490
Gupta Gastro Associates - Brooklyn Gastroenterology; Internal Medicine, Family Practice, Gastroenterologist; 4.0 star rating; 1 review; Gravesend, Bensonhurst; 130 Ave P, Brooklyn, NY 11204; (718) 372-7434
Lenco Diagnostic Laboratories; Laboratory Testing; 1.0 star rating; 2 reviews; Bath Beach, Bensonhurst; 1857 86th St, Brooklyn, NY 11214; (718) 232-1515
Audiology Central; Hearing Aid Providers, Audiologist; 3.0 star rating; 1 review; Gravesend, Bensonhurst; 209 Ave P, Brooklyn, NY 11204; (718) 421-2782
Complete Acupuncture Wellness; Acupuncture, Traditional Chinese Medicine, Naturopathic/Holistic; 0; 0; Bath Beach, Bensonhurst; 8 Bay 35th St, Brooklyn, NY 11214; (718) 265-6919
Genesis Fertility & Reproductive Medicine; Fertility; 0; 0; Bensonhurst, Borough Park; 6010 Bay Pkwy, Brooklyn, NY 11204; (718) 283-8600
St Pauls Center; null; 3.0 star rating; 1 review; Hell's Kitchen, Chelsea, Midtown West; 424 W 34th Street, New York, NY 10001; (212) 695-3444
Y A I; null; 0; 0; Hell's Kitchen, Chelsea, Midtown West; 460 W 34th Street, New York, NY 10001; (212) 868-0668
Yai; null; 0; 0; Hell's Kitchen, Chelsea, Midtown West; 460 W 34th St Fl 11, New York, NY 10001; (212) 273-6515
Y A I Clinic (Center For Specialty Therapy); null; 0; 0; Hell's Kitchen, Chelsea, Midtown West; 460 W 34th Street, New York, NY 10001; (212) 273-6515
Bio-Reference Laboratories, Inc.; Health & Medical; 3.5 star rating; 3 reviews; Chelsea; 251 W 19th St, New York, NY 10011; 
Nanjing Acupuncture; Acupuncture; 5.0 star rating; 5 reviews; Chelsea, Midtown West; 124 W 30th St, New York, NY 10001; (212) 244-0030
St Pauls Center; null; 3.0 star rating; 1 review; Hell's Kitchen, Chelsea, Midtown West; 424 W 34th Street, New York, NY 10001; (212) 695-3444
Excel Dentistry; General Dentistry; 4.0 star rating; 10 reviews; West Village; 225 W 12th St, New York, NY 10011; (212) 366-4363
Lenox Hill Healthplex Emergency; Emergency Rooms; 3.0 star rating; 16 reviews; West Village; 30 7th Ave, New York, NY 10011; (646) 665-6000
The Skin Institute of New York; Dermatologists; 3.5 star rating; 6 reviews; West Village; 67 Perry St, New York, NY 10014; (212) 675-5847
Quest Diagnostics; Medical Centers; 2.0 star rating; 25 reviews; Meatpacking District, West Village; 314 W 14th St, New York, NY 10014; (646) 336-0962
Village Pediatric Cardiology; Pediatricians; 4.0 star rating; 1 review; West Village; 154 W 14th St, New York, NY 10011; (212) 604-7880
Northern Dispensary; Medical Centers; 3.0 star rating; 2 reviews; West Village; 165 Waverly Pl, Manhattan, NY 10014; 
Gatmaitan Evangeline; General Dentistry; 1.0 star rating; 1 review; West Village; 299 W 12th St, New York, NY 10014; (212) 242-9098
Ticketmaster; null; 1.0 star rating; 7 reviews; West Village; 450 W 37 Street 10 Avenue, New York, NY 10018; (212) 629-3996
Bedford Stuyvesant Family Health Center; Medical Centers; 3.0 star rating; 4 reviews; Bedford Stuyvesant; 1456 Fulton St, Bedford-Stuyvesant, NY 11207; (347) 464-6600
Interfaith Medical Center; Medical Centers; 1.0 star rating; 7 reviews; Bedford Stuyvesant, Crown Heights; 1545 Atlantic Ave, Brooklyn, NY 11213; (718) 613-4000
ParCare Health and Medical Center; Medical Centers, Physical Therapy, Gastroenterologist; 1.0 star rating; 1 review; Bedford Stuyvesant, Clinton Hill; 445 Park Ave, New York, NY 11205; (718) 963-0800
Herbal Incense In Brooklyn; Cannabis Clinics; 0; 0; Bedford Stuyvesant, Crown Heights; 543 E 9st, Brooklyn, NY 11218; (347) 985-6146
Genesis Fertility & Reproductive Medicine; Fertility; 0; 0; Bedford Stuyvesant, Bushwick; 1175 W Broadway, Brooklyn, NY 11221; (516) 216-4220
Interfaith Medical Center Adult Clinic I & II; Medical Centers; 0; 0; Bedford Stuyvesant; 1475 Fulton St, Brooklyn, NY 11216; (718) 778-7702
Woodhull Hospital; Hospitals, Medical Centers; 1.5 star rating; 86 reviews; Bedford Stuyvesant; 760 Broadway, Brooklyn, NY 11206; (718) 963-8000
Lafayette Health Mgmt Group; Doctors; 1.0 star rating; 3 reviews; Bedford Stuyvesant; 468 Lafayette Avenue, Brooklyn, NY 11205; (718) 399-6234
Acorn School Base; null; 0; 0; Bedford Stuyvesant, Bushwick; 1396 Broadway, Brooklyn, NY 11221; (718) 443-2989
Hospital Clinic Home Center; null; 0; 0; Bedford Stuyvesant, Bushwick; 1441 Broadway, Brooklyn, NY 11221; (718) 443-3423
Mill Basin Veterinary; Veterinarians; 5.0 star rating; 2 reviews; Bergen Beach, Mill Basin; 6315 Ave N, Brooklyn, NY 11234; (718) 763-3777
Dima Tennis; Trainers, Tennis, Sports Clubs; 5.0 star rating; 1 review; Bergen Beach; 2350 E 69 Str, Brooklyn, NY 11234; (646) 331-0402
Manhattan Physio Group; Physical Therapy; 4.5 star rating; 3 reviews; Midtown West; 130 W 56th St, New York, NY 10019; (212) 247-8436
Nutrition Energy; Nutritionists; 4.5 star rating; 8 reviews; Midtown West; 57 W 57th St, New York, NY 10019; (646) 361-6803
Cynergy Physical Therapy, P.C.; Sports Medicine, Orthopedists; 5.0 star rating; 21 reviews; Midtown West; 145 West 57th St.,, New York, NY 10019; (212) 974-7252
Alan F Berdan, DMD, PC; Cosmetic Dentists, Periodontists, General Dentistry; 5.0 star rating; 2 reviews; Midtown West; 30 Central Park S, Manhattan, NY 10019; (212) 702-8675
Herald Square Eyecare; Optometrists; 5.0 star rating; 3 reviews; Midtown West; 901 Ave of the Americas, New York, NY 10001; (212) 967-4177
Advanced Dermatology Associates; Dermatologists; 2.5 star rating; 23 reviews; Midtown West; 200 Central Park S, New York, NY 10019; (212) 262-2500
One Medical Group; Internal Medicine, Family Practice; 4.0 star rating; 65 reviews; Midtown East, Midtown West; 489 5th Ave, New York, NY 10017; (212) 530-2288
New York Cosmetic & General Dentistry; General Dentistry; 3.5 star rating; 7 reviews; Midtown West; 119 W 57th Street, New York, NY 10019; (212) 262-6054
Robert D Lipschutz, DMD, PC; General Dentistry; 3.5 star rating; 3 reviews; Midtown West; 57 W 57th St, New York, NY 10019; (212) 752-3001
Pivotal Physical Therapy; Physical Therapy; 5.0 star rating; 2 reviews; Midtown West; 41 West 57 St, New York, NY 10019; (212) 317-9798
Marc S. Lemchen, DMD; Orthodontists; 4.5 star rating; 14 reviews; Upper East Side; 553 Park Ave, New York, NY 10065; (212) 755-2333
Zappi Eugene, MD; Dermatologists; 4.5 star rating; 10 reviews; Upper East Side; 21 E 87th St, New York, NY 10128; (212) 410-5004
Doris Day, MD; Dermatologists; 3.5 star rating; 46 reviews; Upper East Side; 10 E 70th St, New York, NY 10021; (212) 772-0740
Ariel Ostad, MD, PC; Dermatologists, Laser Hair Removal, Cosmetic Surgeons; 3.0 star rating; 25 reviews; Upper East Side; 897 Lexington Ave, New York, NY 10065; (212) 517-7900
Acupuncture Health Center; Acupuncture, Traditional Chinese Medicine; 4.5 star rating; 11 reviews; Yorkville, Upper East Side; 330 E 85th St, New York, NY 10028; (212) 996-2988
Revival Acupuncture & Herbs; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 12 reviews; Yorkville, Upper East Side; 1407 York Ave, New York, NY 10021; (646) 545-9600
Richard Nass MD; Allergists, Ear Nose & Throat; 5.0 star rating; 4 reviews; Yorkville, Upper East Side; 1430 2nd Ave, New York, NY 10021; (212) 734-4515
NYC Smile Design; Periodontists, Orthodontists, Cosmetic Dentists; 5.0 star rating; 5 reviews; Upper East Side; 8 E 84th St, New York, NY 10028; (212) 452-3344
ESK Facial Plastic Surgery; Cosmetic Surgeons; 5.0 star rating; 4 reviews; Upper East Side; 737 Park Ave, New York, NY 10021; (212) 229-1100
Elena Frid, MD PC; Neurologist; 4.5 star rating; 8 reviews; Upper East Side; 151 E 62nd St, Manhattan, NY 10065; (212) 288-8832
Fort Hamilton Chiropractic and Wellness; Chiropractors, Nutritionists, Massage Therapy; 4.0 star rating; 4 reviews; Fort Hamilton, Bay Ridge; 9408 4th Ave, Brooklyn, NY 11209; (718) 745-2229
