 Dental Aquaro PC; General Dentistry; 0; 0; Elmhurst; 9603 Roosevelt Avenue, Corona, NY 11368; (718) 396-9711 
David Kraus, MD; Psychiatrists; 2.0 star rating; 15 reviews; Greenwich Village; 3 E 10th St, New York, NY 10003; (212) 677-2602 
David Li Acupuncture; Acupuncture; 5.0 star rating; 2 reviews; Bensonhurst; 7104 18th Ave, Brooklyn, NY 11204; (718) 234-1368 
David Longmire Psychotherapy; Counseling & Mental Health; 5.0 star rating; 1 review; Flatiron; 36 W 25th St, New York, NY 10010; (212) 475-3562 
David Mahony PhD, ABPP; Counseling & Mental Health; 1.0 star rating; 1 review; Williamsburg - North Side; 30 Bayard St, Brooklyn, NY 11211; (718) 668-1919 
David S Weiss, MD; Sports Medicine, Orthopedists; 3.5 star rating; 7 reviews; Midtown East, Murray Hill, Kips Bay; 317 E 34th St, New York, NY 10016; (212) 263-7743 
David S. Feldman, MD; Pediatricians, Orthopedists; 1.0 star rating; 1 review; Gramercy, Flatiron; 67 Irving Pl, New York, NY 10003; (212) 533-5310 
David Salvage, M.D.; Psychiatrists, Counseling & Mental Health; 5.0 star rating; 2 reviews; Chinatown, TriBeCa, Civic Center; 291 Broadway, New York, NY 10007; (212) 431-1510 
David Salvage, MD; Doctors, Counseling & Mental Health, Hypnosis/Hypnotherapy; 0; 0; Park Slope; 199 6th Avenue, Brooklyn, NY 11217; (646) 373-1138 
David Shafer, MD- Shafer Plastic Surgery; Cosmetic Surgeons; 5.0 star rating; 1 review; TriBeCa, Civic Center; 10 E 53rd St, New York, NY 10028; (212) 888-7770 
David V Valauri, DDS; Oral Surgeons; 0; 0; Midtown East, Murray Hill, Kips Bay; 333 E 34th St, New York, NY 10016; (212) 725-4546 
David Yourman PhD; Psychologists; 0; 0; Park Slope; 922 President St 1F, Brooklyn, NY 11215; (718) 623-1173 
Dawn Welburn - ReAwaken Through Touch; Massage Therapy, Doulas; 0; 0; Crown Heights; 367 Saint Marks Avenue, Brooklyn, NY 11238; (347) 522-3450 
Debbie Shiwbalak, MA CCC-SLP; Speech Therapists; 5.0 star rating; 1 review; Sunset Park; 430 36th St, Brooklyn, NY 11232; (917) 373-0511 
Deborah L Ottenheimer, MD; Obstetricians & Gynecologists; 4.0 star rating; 53 reviews; Financial District; 80 Maiden Ln, New York, NY 10038; (212) 366-4765 
Deborah Sook Bang, LAc; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 5 reviews; Midtown East; 140 E 52nd St, Ste 2E, Manhattan, NY 10022; (212) 983-5100 
Debra Jaliman, MD; Dermatologists; 3.5 star rating; 3 reviews; Upper East Side; 931 5th Ave, New York, NY 10021; (212) 517-8855 
Delta Sky Lounge; Airport Lounges; 4.0 star rating; 38 reviews; LaGuardia Airport; Laguardia Airport, East Elmhurst, NY 11369; (718) 289-1368 
Demetri Merianos, MD; Pediatricians; 5.0 star rating; 1 review; Upper East Side; 520 East 70th St, New York, NY 10021; (212) 746-5247 
Denino’s Pizzeria Tavern; Pizza, Salad; 4.0 star rating; 318 reviews; Elm Park; 524 Port Richmond Ave, Staten Island, NY 10302; (718) 442-9401 
Denise Craig, Dental Hygienist; General Dentistry; 5.0 star rating; 1 review; Midtown East; 488 Madison Ave, New York, NY 10022; (212) 980-4588 
Dental  Clinic  of Marguerita Degtyareva DDS; General Dentistry; 3.0 star rating; 1 review; Sheepshead Bay; 1725 Sheepshead Bay Rd, Brooklyn, NY 11235; (718) 743-0299 
Dental Artes; Cosmetic Dentists, General Dentistry; 5.0 star rating; 2 reviews; Ridgewood; 681 Seneca Ave, Ridgewood, NY 11385; (347) 987-3510 
Dental Implants New York; General Dentistry, Cosmetic Dentists; 0; 0; Midtown East, Murray Hill; 30 E 40th St, New York, NY 10016; (212) 685-3212 
Dental Partners of Fifth Avenue; General Dentistry, Cosmetic Dentists; 0; 0; Upper East Side; 11 E 86th St, New York, NY 10028; (212) 987-7400 
Dental Specialty Associates; Cosmetic Dentists, Endodontists; 1.0 star rating; 19 reviews; Financial District; 225 Broadway, Manhattan, NY 10007; (646) 525-4822 
Dentist in Flushing NY; General Dentistry, Cosmetic Dentists; 5.0 star rating; 6 reviews; Kew Gardens Hills, Flushing; 141-16 Jewel Ave, Flushing, NY 11367; (718) 285-7208 
Dentistry by Yon Lai; Orthodontists; 5.0 star rating; 1 review; Chinatown; 11 E Broadway, New York, NY 10038; (212) 267-1800 
Derek Sun, MD, PhD; Cardiologists, Internal Medicine, Family Practice; 5.0 star rating; 1 review; Washington Heights; 454 Fort Washington Ave, Manhattan, NY 10033; (212) 928-8800 
Desmond J Ward, DDS; Oral Surgeons; 4.5 star rating; 19 reviews; Midtown East; 595 Madison Ave, New York, NY 10022; (212) 593-0303 
Di Blasi Ford; Auto Repair; 2.0 star rating; 13 reviews; North Corona; 11221 Northern Blvd, Corona, NY 11368; (718) 898-6100 
Diagnostic Cardiology Associates PC; Doctors; 4.0 star rating; 1 review; Brooklyn Heights; 100 Clinton St, Brooklyn, NY 11201; (718) 625-8700 
Diagnostic Radiology Assocs; Radiologists; 2.5 star rating; 36 reviews; Chelsea; 230 W 17th St, New York, NY 10011; (212) 989-8999 
Dialysis ; Dialysis Clinics; 0; 0; Bullshead; 1550 Richmond Avenue, Staten Island, NY 10314; (718) 370-9545 
Dialysis ; Dialysis Clinics; 0; 0; Dyker Heights; 6518 Fort Hamilton Pkwy, Brooklyn, NY 11219; (718) 836-8444 
Dialysis ; Dialysis Clinics; 0; 0; West Brighton; 800 Castleton Ave, Staten Island, NY 10310; (718) 816-6455 
Dialysis Access Care UPB Suny Downstate; Dialysis Clinics; 0; 0; Westchester Square; 1515 Jarret Pl, Bronx, NY 10461; (718) 822-4940 
Diamond Acupuncture; Acupuncture; 5.0 star rating; 4 reviews; Chinatown; 390 Broadway, Manhattan, NY 10013; (917) 217-6028 
Diamond Pros Inc.; Amateur Sports Teams, Summer Camps; 0; 0; Bellerose; 24854 89th Ave, Bellerose, NY 11426; (718) 343-9347 
Diamond Vision; Ophthalmologists, Laser Eye Surgery/Lasik; 3.5 star rating; 37 reviews; Midtown West; 15 W 44th St, New York, NY 10036; (212) 838-2020 
Diane Ambulette; Medical Transportation; 3.0 star rating; 2 reviews; Forest Hills; 73-18 Yellowstone Blvd, Forest Hills, NY 11375; (718) 544-4414 
Diane S. Berson, MD; Dermatologists; 0; 0; Midtown East; 211 E 53rd St, New York, NY 10022; (212) 355-3511 
Didoria Medspa; Medical Spas; 0; 0; Eltingville; 3993 Richmond Ave, Staten Island, NY 10312; (718) 317-6252 
Dima Tennis; Trainers, Tennis, Sports Clubs; 5.0 star rating; 1 review; Bergen Beach; 2350 E 69 Str, Brooklyn, NY 11234; (646) 331-0402 
Dimaso Gerald MD; Doctors; 1.0 star rating; 1 review; Huguenot; 68 Seguine Avenue, Staten Island, NY 10309; (718) 356-6500 
Dimitry Goncharov, DO; Obstetricians & Gynecologists, Fertility; 5.0 star rating; 26 reviews; Park Slope, South Slope; 348 13th St, Brooklyn, NY 11215; (718) 517-8833 
Discreet Plastic Surgery; Cosmetic Surgeons, Medical Centers; 5.0 star rating; 1 review; Midwood; 2120 Ocean Ave, Brooklyn, NY 11229; (718) 705-4251 
Divinity Laser Spa; Laser Hair Removal, Skin Care, Reiki; 4.5 star rating; 44 reviews; Midtown East; 136 E 57th St, New York, NY 10022; (929) 777-1244 
Dmitry Choklin Physical Therapy and Sports Training; Physical Therapy; 5.0 star rating; 9 reviews; Upper West Side; 110 W End Ave, Manhattan, NY 10023; (917) 328-8098 
Dmitry Khaytman, DDS; Cosmetic Dentists, Periodontists, General Dentistry; 3.0 star rating; 2 reviews; Ocean Parkway, Flatbush; 749 Ocean Pkwy, Brooklyn, NY 11230; (718) 421-1717 
Doctor Sew ; null; 0; 0; Bay Ridge; 8618 5th Ave, Brooklyn, NY 11209; (718) 748-5288 
Doctor’s Medical Group; Doctors; 1.0 star rating; 4 reviews; Washington Heights; 354 Fort Washington Avenue, New York, NY 10033; (212) 781-0100 
Doin Seitai Center; Medical Centers, Massage, Naturopathic/Holistic; 5.0 star rating; 7 reviews; Midtown East; 141 E 55th St, New York, NY 10022; (212) 697-9114 
Dongan Hills Veterinary Practice; Veterinarians; 4.5 star rating; 12 reviews; Dongan Hills; 289 Dongan Hills Ave, Staten Island, NY 10305; (718) 987-7777 
Dorian Dental ; General Dentistry; 0; 0; Bensonhurst; 6321 18 Ave, Brooklyn, NY 11204; (718) 331-6060 
Doris Day, MD; Dermatologists; 3.5 star rating; 46 reviews; Upper East Side; 10 E 70th St, New York, NY 10021; (212) 772-0740 
Dormer Medical Spa; Cosmetic Surgeons, Laser Hair Removal, Medical Spas; 3.0 star rating; 5 reviews; Upper East Side; 121 E 71st St, New York, NY 10021; (212) 535-5905 
Doshi Diagnostic Imaging Services PC; Diagnostic Imaging; 1.5 star rating; 13 reviews; Jackson Heights; 3717 76th St, Jackson Heights, NY 11372; (718) 396-1955 
Doshi Diagnostic Imaging Services PC; Doctors; 1.5 star rating; 16 reviews; Downtown Brooklyn; 9 Bond St, Brooklyn, NY 11201; (718) 222-3000 
Doshi Diagnostic; Medical Centers; 2.0 star rating; 11 reviews; Bay Ridge; 6740 3rd Ave, Brooklyn, NY 11220; (718) 491-5822 
Doueck Dental; General Dentistry; 0; 0; Gravesend, Midwood; 563 Kings Hwy, Brooklyn, NY 11223; (718) 339-7982 
Douek Victor J, MD; Doctors; 4.5 star rating; 3 reviews; Midtown East; 41 E 57th St, New York, NY 10022; (212) 753-8839 
Douglas Rosen, MD; Dermatologists; 2.5 star rating; 3 reviews; Schuylerville; 3620 E Tremont Ave, Bronx, NY 10465; (718) 792-4700 
Downstate  Clinic  Labs; null; 0; 0; Bensonhurst; 7701 Bay Parkway Apt 4H, Brooklyn, NY 11214; (718) 837-2498 
Downstate  Clinic  Labs; null; 0; 0; Gramercy; 303 2nd Avenue, New York, NY 10003; (212) 673-5233 
Downstate Ophthalmology Associates PC; Optometrists, Ophthalmologists; 2.0 star rating; 4 reviews; Boerum Hill; 34 Plaza St E, Brooklyn, NY 11238; (718) 638-2020 
Downtown Medical Services; Internal Medicine; 2.0 star rating; 6 reviews; Downtown Brooklyn; 81 Willoughby St, New York, NY 11201; (718) 522-3399 
Downtown Medical Services; Medical Centers, Urologists; 0; 0; Downtown Brooklyn; 81 Willoughby Street, 4th Floor, Brooklyn, NY 11201; (718) 522-3399 
Downtown Primary Care; Doctors; 3.0 star rating; 19 reviews; Greenwich Village, NoHo; 726 Broadway, New York, NY 10003; (212) 992-9198 
Downtown Therapy ; Physical Therapy; 0; 0; Chinatown; 13 Elizabeth Street, New York, NY 10013; (212) 625-2528 
Downtown Women OB-Gyn Associates, LLP; Obstetricians & Gynecologists, Medical Centers; 3.0 star rating; 126 reviews; SoHo; 568 Broadway, New York, NY 10012; (212) 966-7600 
Dr Alam ; null; 0; 0; Jackson Heights; 3754 75th St, Jackson Heights, NY 11372; (718) 779-4441 
Dr Christian Automobile ; null; 0; 0; Columbia Street Waterfront District; 63 Union St, Brooklyn, NY 11231; (718) 246-4136 
Dr Davie Cosmetic ; Cosmetic Surgeons; 1.0 star rating; 1 review; Manhattan Beach, Brighton Beach; 133-A West End Ave, Brooklyn, NY 11235; (718) 743-5616 
Dr Ellyn Gamberg; Hypnosis/Hypnotherapy, Psychiatrists; 0; 0; Midtown East, Murray Hill; 280 Madison Ave, New York, NY 10016; (212) 286-8777 
Dr Joseph Vetere; Doctors; 1.0 star rating; 1 review; Pelham Gardens; 2555 Mickle Ave, Bronx, NY 10469; (718) 547-0465 
Dr Kim’s Acupuncture & Herbs  Clinic  Pain Therapy Center; Acupuncture; 0; 0; Jamaica; 3402 Parsons Boulevard, Flushing, NY 11354; (718) 762-2278 
Dr Parks’s Comprehensive Pain ; Doctors; 0; 0; Dyker Heights, Borough Park; 6203 Fort Hamilton Parkway, Brooklyn, NY 11219; (718) 745-3310 
Dr Peter Astarbi DVM; Veterinarians, Pet Services; 0; 0; Arden Heights; 158 Russek Dr, Staten Island, NY 10312; (718) 356-3010 
Dr Sneeze; Allergists; 5.0 star rating; 26 reviews; Midtown East, Murray Hill; 30 E 40th St, New York, NY 10016; (212) 679-1200 
Dr WW Medspa; Medical Spas; 5.0 star rating; 8 reviews; Elmhurst; 85 -16 Queens Blvd, Elmhurst, NY 11373; (718) 457-0707 
Dr Walk-In Medical Care; Medical Spas; 1.0 star rating; 1 review; Chelsea; 131 8th Ave, New York, NY 10011; (212) 675-4800 
Dr. Christopher Trahan, OMD; Acupuncture; 3.0 star rating; 19 reviews; Flatiron; New York, NY 10010; (212) 337-0511 
Dr. David Gelbuda; Chiropractors, Nutritionists; 5.0 star rating; 1 review; Midtown East, Murray Hill; 36 E 38th St, New York, NY 10016; (212) 242-3210 
Dr. David L. Brisman, DMD; Periodontists; 3.5 star rating; 11 reviews; Greenwich Village; 31 Washington Square West, New York, NY 10011; (212) 673-6900 
Dr. Edward Fruitman; Counseling & Mental Health, Psychiatrists; 0; 0; Financial District; 115 Broadway, Manhattan, NY 10006; (212) 233-2830 
Dr. Ellen Athanail - A Quality of Life Chiropractic; Chiropractors; 5.0 star rating; 2 reviews; Bay Ridge; 268 Bay Rdg Pkwy, Suite 1A, Brooklyn, NY 11209; (718) 921-5191 
Dr. Eric Linden, DMD, MSD; Periodontists; 3.0 star rating; 2 reviews; Upper West Side; 170 West End Ave, Ste 1L, Manhattan, NY 10023; (212) 595-5559 
Dr. George J. Zambetti Jr, MD; Orthopedists, Sports Medicine; 2.5 star rating; 14 reviews; Hell's Kitchen, Midtown West; 343 w 58th St, New York, NY 10019; (212) 506-0236 
Dr. Jeffrey Crespin, MD; Doctors; 2.5 star rating; 9 reviews; Midtown East; 155 East 47th St., New York, NY 10017; (646) 660-4006 
Dr. Jessica Krant - Art of Dermatology; Cosmetic Surgeons; 4.5 star rating; 32 reviews; Upper East Side; 860 5th Avenue, New York, NY 10065; (212) 488-5599 
Dr. John E. Sherman, MD; Cosmetic Surgeons, Medical Centers; 0; 0; Upper East Side; 1016 5th Avenue, New York, NY 10028; (212) 535-2300 
Dr. Lawrence Limb, DMD - Bway Smiles; Pediatric Dentists, General Dentistry, Orthodontists; 3.5 star rating; 3 reviews; Upper West Side; 1995 Broadway Suite 205, New York, NY 10023; (212) 877-5577 
Dr. Lieberman & Associates; General Dentistry; 1.0 star rating; 1 review; Marine Park; 2224 Kimball St, Brooklyn, NY 11234; (718) 252-2846 
Dr. Matthew Bellafiore, DDS; General Dentistry; 3.5 star rating; 10 reviews; Brooklyn Heights; 185 Montague St, Brooklyn, NY 11201; (718) 875-9424 
Dr. Melanie Joannow; Doctors; 5.0 star rating; 4 reviews; Astoria; 2605 23rd Ave, Ditmars Steinway, NY 11105; (718) 204-6932 
Dr. Michael Ricciardi; General Dentistry, Cosmetic Dentists; 0; 0; Oakwood; 324 Tysens Lane, Staten Island, NY, Staten Island, NY 10306; (718) 667-9080 
Dr. Shirley Schaye; Counseling & Mental Health, Life Coach; 5.0 star rating; 1 review; Upper West Side; 205 East 16th. St., New York, NY 10003; (212) 787-7862 
Dr. Sourab Choudhury, MD - Brooklyn Dermatology; Dermatologists; 1.0 star rating; 4 reviews; Brooklyn Heights, Cobble Hill; 161 Atlantic Ave, Brooklyn, NY 11201; (718) 797-5504 
Dr. Sudhir Gadh MD; Psychiatrists; 0; 0; Greenwich Village; 80 East 11th Street, New York, NY 10003; (917) 502-4529 
Dr.Darryl Wu DDS PC; General Dentistry; 2.5 star rating; 7 reviews; Little Italy, Chinatown; 41 Elizabeth St, New York, NY 10013; (212) 925-7757 
Dreiser Physical Therapy & Rehabilitation,   PC; Physical Therapy; 4.0 star rating; 1 review; Co-op City; 145 Dreiser LP, New York, NY 10475; (347) 843-0900 
Dukoff Amy, DMD; Endodontists; 1.5 star rating; 4 reviews; Midtown West; 119 W 57th St, New York, NY 10019; (212) 582-8161 
Dulcinea Pitagora, MA, LMSW; Counseling & Mental Health; 0; 0; Midtown West; 19 West 34th St, New York, NY 10001; (917) 675-3446 
Duperval Melissa, DO; Obstetricians & Gynecologists; 3.0 star rating; 19 reviews; Upper East Side; 993 Park Ave, Manhattan, NY 10028; (212) 744-6700 
Dyckman Medical Care; Medical Centers; 1.5 star rating; 2 reviews; Washington Heights, Inwood; 177 Dyckman St, New York, NY 10040; (212) 567-7323 
Dyevo; Trainers, Physical Therapy, Acupuncture; 5.0 star rating; 5 reviews; Glendale; 74-12 88th Street, Glendale, NY 11385; (646) 493-9386 
Dyker Heights Dialysis Center; Dialysis Clinics; 0; 0; Bath Beach, Bensonhurst; 1435 86th St, Brooklyn, NY 11228; (718) 256-5800 
Dyker Heights Foot and Ankle; Podiatrists; 5.0 star rating; 2 reviews; Bensonhurst; 8407 15th Ave, Brooklyn, NY 11228; (718) 921-2156 
Dynamic Physical Therapy; Physical Therapy; 0; 0; Downtown Flushing, Flushing; 43-43 Kissena Blvd, Flushing, NY 11355; (646) 604-9762 
EBS Plastic Surgery; Cosmetic Surgeons; 5.0 star rating; 3 reviews; Midtown East; 120 East 56th St #800, New York, NY 10022; (212) 517-5600 
EG & Counseling Associates; Counseling & Mental Health; 0; 0; Morningside Heights; 1090 Amsterdam Ave, New York, NY 10025; (917) 399-9248 
ENT and Allergy Associates; Allergists, Ear Nose & Throat; 3.0 star rating; 13 reviews; Flatiron; 261 Fifth Ave, New York, NY 10016; (212) 679-3499 
ENT and Allergy Associates; Ear Nose & Throat, Allergists, Hearing Aid Providers; 2.5 star rating; 11 reviews; Yorkville, Upper East Side; 210 E 86th St, New York, NY 10028; (212) 722-5570 
ENT and Allergy Associates; Hearing Aid Providers, Ear Nose & Throat, Allergists; 0; 0; Astoria; 31-19 Newtown Ave, Astoria, NY 11102; (718) 971-2490 
ENT and Allergy Associates; Hearing Aid Providers, Ear Nose & Throat, Allergists; 5.0 star rating; 1 review; Brooklyn Heights; 300 Cadman Plaza W, Brooklyn Heights, NY 11201; (718) 208-4449 
ER-DOX Urgent Care | Midwood, Brooklyn; Urgent Care, Doctors, Medical Centers; 3.5 star rating; 9 reviews; Midwood; 1797 Coney Island Avenue, Brooklyn, NY 11230; (718) 676-1499 
ESK Facial Plastic Surgery; Cosmetic Surgeons; 5.0 star rating; 4 reviews; Upper East Side; 737 Park Ave, New York, NY 10021; (212) 229-1100 
EZ Dental Care; General Dentistry, Cosmetic Dentists, Oral Surgeons; 4.5 star rating; 20 reviews; Downtown Flushing, Flushing; 132-61 41 Rd, Flushing, NY 11355; (718) 886-0860 
Ear Nose & Throat Specialists of Flushing; Doctors; 1.0 star rating; 1 review; Downtown Flushing, Flushing; 13640 39th Avenue, Flushing, NY 11354; (718) 321-8246 
Early Options; Medical Centers; 5.0 star rating; 1 review; Brooklyn Heights; 188 Montague St, Brooklyn, NY 11201; (718) 638-4094 
Early Options; Medical Centers; 5.0 star rating; 1 review; Midtown East, Murray Hill; 124 E 40th St, Manhattan, NY 10016; (212) 431-8533 
East Coast Dental Group; Dentists; 5.0 star rating; 4 reviews; Upper West Side; 608A W End Ave, New York, NY 10024; (212) 799-1199 
East Harlem Community Dental; Dentists; 4.0 star rating; 1 review; East Harlem; 2022 Lexington Avenue, New York, NY 10035; (212) 987-0777 
East Harlem Dental Plaza; General Dentistry; 1.5 star rating; 10 reviews; East Harlem; 2060 Lexington Ave, New York, NY 10035; (212) 996-5996 
East New York Diagnostic And Treatment Center; Medical Centers; 1.0 star rating; 1 review; East New York; 2094 Pitkin Ave, New York, NY 11207; (718) 240-0400 
East River Eye Center; Optometrists; 2.0 star rating; 1 review; East Harlem; 517 E117th St, New York, NY 10035; (212) 896-5886 
East Village Podiatry; Podiatrists; 0; 0; East Village, Alphabet City; 645 East 11th St, New York, NY 10009; (929) 445-4483 
Eastchester Road Dialysis Center; Dialysis Clinics; 0; 0; Westchester Square; 1515 Jarrett Pl, East Bronx, NY 10461; (718) 822-4940 
Eastside Audiology; Audiologist; 5.0 star rating; 2 reviews; Upper East Side; 162 E 78 St, New York, NY 10075; (212) 327-1155 
Eastside Dental Medicine; Cosmetic Dentists, Orthodontists, Pediatric Dentists; 2.5 star rating; 6 reviews; Midtown East; 595 Madison Ave, Fl 27th, New York, NY 10022; (212) 758-9498 
Eastside Gynecology; Obstetricians & Gynecologists; 1.5 star rating; 8 reviews; Midtown East; 144 E 44th St, New York, NY 10017; (212) 308-4988 
Eastside Massage Therapy; Massage, Day Spas, Medical Spas; 4.0 star rating; 60 reviews; Yorkville, Upper East Side; 351 E 78th St, New York, NY 10075; (212) 249-2927 
